time,amount
1:28:00 PM,1
9:22:00 AM,1
10:01:00 AM,1
3:14:00 AM,1
8:06:00 PM,1
1:34:00 PM,1
1:41:00 PM,1
11:12:00 AM,1
9:38:00 AM,1
12:24:00 PM,1
6:19:00 PM,1
4:28:00 AM,1
5:08:00 PM,1
10:02:00 AM,1
4:06:00 PM,1
2:26:00 AM,1
9:14:00 AM,1
5:56:00 PM,1
7:28:00 AM,1
4:13:00 PM,1
6:02:00 AM,1
7:18:00 AM,1
8:42:00 AM,1
4:54:00 PM,1
1:01:00 AM,1
4:57:00 AM,1
3:23:00 AM,1
2:11:00 AM,1
5:34:00 PM,1
5:43:00 PM,1
1:59:00 AM,1
1:24:00 AM,1
11:43:00 AM,1
2:38:00 PM,1
6:32:00 AM,1
11:24:00 PM,1
12:28:00 PM,1
2:04:00 PM,1
6:28:00 AM,1
1:12:00 PM,1
12:18:00 AM,1
1:34:00 AM,1
2:56:00 AM,1
2:21:00 PM,1
5:29:00 PM,1
6:43:00 AM,1
6:18:00 AM,1
3:12:00 PM,1
8:58:00 AM,1
8:16:00 PM,1
7:53:00 PM,1
12:07:00 PM,1
8:24:00 PM,1
3:21:00 AM,1
9:42:00 AM,1
11:03:00 AM,1
1:36:00 PM,1
5:04:00 PM,1
5:14:00 PM,1
8:56:00 AM,1
2:32:00 AM,1
3:44:00 PM,1
4:28:00 PM,1
4:53:00 AM,1
4:46:00 PM,1
5:44:00 PM,1
4:42:00 AM,1
11:38:00 AM,1
8:02:00 AM,1
3:43:00 PM,1
10:53:00 AM,1
6:56:00 AM,1
5:47:00 PM,1
9:44:00 AM,1
5:26:00 AM,1
6:06:00 AM,1
5:54:00 PM,1
10:11:00 AM,1
2:06:00 AM,1
6:07:00 AM,1
7:21:00 PM,1
7:57:00 AM,1
3:11:00 AM,1
11:13:00 AM,1
6:44:00 AM,1
11:23:00 AM,1
3:26:00 AM,1
10:46:00 PM,1
3:08:00 AM,1
6:41:00 AM,1
7:03:00 AM,1
10:56:00 PM,1
2:53:00 PM,1
5:42:00 PM,1
8:32:00 AM,1
2:24:00 AM,1
1:52:00 AM,1
4:41:00 PM,1
11:34:00 AM,1
6:27:00 PM,1
3:51:00 PM,1
10:54:00 AM,1
6:16:00 PM,1
4:22:00 AM,1
5:27:00 AM,1
12:44:00 PM,1
7:33:00 PM,1
6:44:00 PM,1
6:06:00 PM,1
4:18:00 PM,1
5:59:00 PM,1
5:37:00 AM,1
5:07:00 AM,1
7:37:00 AM,1
7:55:00 AM,1
8:52:00 AM,1
11:52:00 AM,1
6:39:00 PM,1
12:41:00 PM,1
12:21:00 PM,1
4:58:00 AM,1
9:27:00 AM,1
1:02:00 AM,1
10:38:00 AM,1
1:55:00 PM,1
1:44:00 PM,1
3:31:00 AM,1
9:28:00 AM,1
11:53:00 AM,1
